iter	Passed	Remaining
0	153	153134
1	154	77288
2	156	51914
3	158	39360
4	159	31834
5	161	26766
6	163	23140
7	164	20406
8	166	18278
9	167	16584
10	169	15201
11	170	14030
12	172	13097
13	174	12257
14	175	11529
15	177	10887
16	178	10311
17	179	9813
18	181	9373
19	183	8978
20	186	8693
21	188	8385
22	190	8084
23	192	7811
24	193	7555
25	195	7313
26	196	7088
27	198	6876
28	199	6696
29	203	6580
30	205	6408
31	206	6246
32	208	6097
33	209	5955
34	210	5814
35	212	5683
36	213	5557
37	215	5461
38	217	5358
39	218	5250
40	220	5146
41	221	5051
42	222	4958
43	224	4868
44	225	4783
45	227	4713
46	229	4646
47	231	4583
48	232	4521
49	234	4454
50	235	4389
51	237	4325
52	238	4264
53	241	4225
54	244	4205
55	246	4153
56	247	4099
57	248	4043
58	250	3989
59	251	3938
60	252	3889
61	253	3839
62	254	3789
63	255	3742
64	258	3725
65	260	3687
66	262	3650
67	263	3607
68	264	3565
69	265	3524
70	266	3485
71	267	3446
72	268	3409
73	269	3372
74	270	3336
75	272	3311
76	273	3282
77	275	3258
78	277	3238
79	278	3205
80	279	3174
81	280	3143
82	281	3109
83	282	3079
84	283	3051
85	284	3023
86	285	2998
87	287	2979
88	288	2956
89	289	2931
90	290	2906
91	291	2881
92	292	2857
93	293	2833
94	294	2809
95	295	2786
96	296	2763
97	297	2741
98	298	2720
99	299	2699
100	301	2686
101	303	2671
102	304	2652
103	305	2632
104	306	2613
105	307	2593
106	308	2574
107	309	2557
108	310	2539
109	311	2521
110	312	2504
111	313	2488
112	314	2470
113	316	2459
114	318	2447
115	319	2431
116	319	2414
117	320	2399
118	322	2383
119	323	2369
120	324	2357
121	325	2342
122	326	2327
123	327	2313
124	328	2299
125	329	2285
126	331	2275
127	332	2265
128	334	2259
129	335	2248
130	336	2235
131	337	2222
132	338	2209
133	340	2197
134	341	2186
135	342	2174
136	343	2162
137	344	2150
138	345	2142
139	347	2134
140	348	2125
141	349	2112
142	350	2101
143	351	2092
144	353	2083
145	354	2073
146	356	2066
147	357	2057
148	358	2047
149	361	2046
150	362	2039
151	364	2033
152	365	2025
153	366	2016
154	368	2007
155	369	1998
156	370	1989
157	372	1982
158	373	1976
159	378	1986
160	379	1978
161	380	1970
